v' J' v'' J'' Freq ERROR
0 0 0 0 0.0008389455360706677 0.05
0 0 0 0 13.901944658930883 0.05
0 0 0 0 17.902262849835864 0.05
0 0 0 0 41.704156085720506 0.05
0 0 0 0 49.70479246753047 0.05
0 0 0 0 83.40747322590494 0.05
0 0 0 0 95.40842779861988 0.05
0 0 0 0 139.0118960794842 0.05
0 0 0 0 155.01316884310413 0.05
0 0 0 0 208.51742464645824 0.05
0 0 0 0 228.51901560098315 0.05
0 0 0 0 291.9240589268271 0.05
0 0 0 0 315.925968072257 0.05
0 0 0 0 389.2317989205908 0.05
0 0 0 0 417.2340262569257 0.05
0 0 0 0 500.5406525825219 0.05
0 0 0 0 532.4431901549891 0.05
0 0 0 0 625.6506040030753 0.05
0 0 0 0 661.5534597664474 0.05
0 0 0 0 764.761669091796 0.05
0 0 0 0 804.6648430460732 0.05
0 0 0 0 917.7738398939115 0.05
0 0 0 0 961.6773320390937 0.05
0 0 0 0 1132.7909426550543 0.05
